nimi,reg_kood,aadress,omavalitsus,maakond,telefon,direktor_telefon,email,direktor_email,veebileht,lat,lon,allikas,markus
Abja Lasteaed,,,,,,,,,,58.1277557,25.3489867,OpenStreetMap,
Aegviidu Mesitaru Lasteaed,,,,,,,,,http://www.aegviidulasteaed.ee/,59.2862637,25.617975,OpenStreetMap,
Ahja lasteaed,,,,,,,,,,58.2065278,27.0722819,OpenStreetMap,
Ala põhikooli lasteaed,,,,,,,,,,58.012522,25.6951469,OpenStreetMap,
Alasniidu Lasteaed,,,,,,,,,,59.4165022,24.5820685,OpenStreetMap,
Alatskivi Lasteaed,,,,,,,,,,58.5982151,27.1347927,OpenStreetMap,
Alu Kooli lasteaed,,,,,,,,,,59.0252099,24.763186,OpenStreetMap,
Anija Valla Lasteaiad - Lastetare maja,,,,,,,,,,59.3341508,25.3293537,OpenStreetMap,
Anija Valla Lasteaiad - Lepatriinu maja,,,,,,,,,,59.325772,25.3395181,OpenStreetMap,
Anija Valla Lasteaiad - Mõmmila maja,,,,,,,,,,59.2466896,25.3286594,OpenStreetMap,
Anna Haava nimelise Pala Kooli lasteaed,,,,,,,,,,58.6701521,27.0205578,OpenStreetMap,
Anni Lasteaed,,,,,,,,,,58.3568729,26.6980342,OpenStreetMap,
Aravete lasteaed Mesimumm,,,,,,,,,,59.144352,25.7551638,OpenStreetMap,
Aruheina Lasteaed,,,,,,,,,,59.4012081,24.8081112,OpenStreetMap,
"Aruküla Lasteaed ""Rukkilill""",,"staadioni, 6",,,,,,,https://aedrukkilill.eu/,59.3643817,25.078753,OpenStreetMap,
Aserbaidžaani Lasteaed Fidan,,,,,,,,,,59.4382991,24.8463535,OpenStreetMap,
Assaku Lasteaed,,,,,,,,,,59.374375,24.8566937,OpenStreetMap,
"Aste Lasteaed ""Mõmmik""",,,,,,,,,https://astelasteaed.saaremaavald.ee/,58.3439977,22.4449116,OpenStreetMap,
Avinurme Lasteaed Naerulind,,,,,,,,,https://avinurmelasteaed.weebly.com/,58.9842952,26.8695356,OpenStreetMap,
C. R. Jakobsoni nim Torma Põhikooli lasteaed,,,,,,,,,,58.8190627,26.7375728,OpenStreetMap,
Eesti Rahvusvaheline Eelkool,,,,,,,,,,59.4275631,24.7627436,OpenStreetMap,
Elva Järve Lasteaed,,,,,,,,,,58.2285981,26.4035928,OpenStreetMap,
Elva Lasteaed Murumuna,,,,,,,,,,58.222127,26.4166741,OpenStreetMap,
Elva Lasteaed Õnneseen,,,,,,,,,,58.2311611,26.4097059,OpenStreetMap,
Elva Lasteaed Õnneseen - Elva maja,,,,,,,,,,58.2311122,26.4098198,OpenStreetMap,
Elva Lasteaed Õnneseen - Peedu majad,,,,,,,,,,58.2355135,26.4478916,OpenStreetMap,
Emmaste Lasteaed Naksitrallid,,,,,,,,,,58.7051547,22.5998976,OpenStreetMap,
Eralasteaed Aarete saar,12102674,,,,,,,,https://www.tela.ee,59.4263999,24.6278324,OpenStreetMap + teatmik.haridus.ee,teatmik_id=100
Eralasteaed Adelion,11445432,,,,,,,,https://www.adelionkids.ee,59.480244,24.8837318,OpenStreetMap + teatmik.haridus.ee,teatmik_id=189
Eralasteaed Kalli-kalli,11428190,,,,,,,,https://www.kalli.ee,59.4223578,24.798633,OpenStreetMap + teatmik.haridus.ee,teatmik_id=194
Eralasteaed Kaur,,,,,,,,,,59.3502182,26.3632973,OpenStreetMap,
Eralasteaed Kõige Suurem Sõber,,,,,,,,,,58.2440287,22.4881838,OpenStreetMap,
Eralasteaed Lillelapsed,,,,,,,,,,59.5126604,24.8225808,OpenStreetMap,
Eralasteaed Mesimumm,,,,,,,,,,59.3966287,27.2962135,OpenStreetMap,
Eralasteaed Naba,,,,,,,,,,59.4694396,24.8417631,OpenStreetMap,
Eralasteaed Pääsupoeg 1,,,,,,,,,,59.5373852,24.7953485,OpenStreetMap,
Eralasteaed Pääsupoeg 2,,,,,,,,,,59.5053634,24.8617413,OpenStreetMap,
Eralasteaed Rüblik,,,,,,,,,,58.3520879,26.7252969,OpenStreetMap,
Haanja kooli lasteaed,,,,,,,,,,57.721882,27.0505332,OpenStreetMap,
Haapsalu Lasteaed Pääsupesa,,,,,,,,,,58.9429406,23.5439342,OpenStreetMap,
Haapsalu Lasteaed Tareke,,,,,,,,,,58.9435046,23.5459017,OpenStreetMap,
Haapsalu Lasteaed Vikerkaar,,,,,,,,,,58.9360214,23.543435,OpenStreetMap,
Haapsalu Vanalinna Lasteaiad - Tõrukese maja,,,,,,,,,,58.9479374,23.5341906,OpenStreetMap,
Haljala Lasteaed Pesapuu,,,,,,,,,,59.4327188,26.2699707,OpenStreetMap,
Halliste Lasteaed Pääsuke,,,,,,,,,,58.1543558,25.4368432,OpenStreetMap,
Hargla kooli lasteaed,,,,,,,,,,57.6147554,26.415496,OpenStreetMap,
Harku Lasteaed,,,,,,,,,,59.3882778,24.5803644,OpenStreetMap,
Harkujärve lasteaed,,,,,,,,,,59.4152339,24.6032678,OpenStreetMap,
Harkujärve lasteaed - Järvekalda maja,,,,,,,,,,59.4128401,24.6035467,OpenStreetMap,
Heimtali Lasteaed,,,,,,,,,,58.3231873,25.5033593,OpenStreetMap,
Holstre lasteaed Mõmmik,,,,,,,,,,58.2758336,25.6930686,OpenStreetMap,
Illuka Kooli lasteaed,,,,,,,,,,59.2359821,27.495264,OpenStreetMap,
Ilmapuu Waldorflasteaed,,,,,,,,,,59.4497348,24.6916863,OpenStreetMap,
Järvakandi Lasteaed Pesamuna,,,,,,,,,,58.7751899,24.8152107,OpenStreetMap,
Jõgeva Lasteaed “Karikakar”,,,,,,,,,,58.7425456,26.3734223,OpenStreetMap,
Jõgeva Lasteaed “Rohutirts”,,,,,,,,,,58.748622,26.3921835,OpenStreetMap,
Jõõpre Kooli Aruvälja Lasteaed,,,,,,,,,,58.476508,24.1830286,OpenStreetMap,
Jõõpre Kooli Jõõpre lasteaed Jõmmu,,,,,,,,,,58.4757403,24.3293682,OpenStreetMap,
Jõõpre Kooli Lavassaare Lasteaed,,,,,,,,,,58.5129972,24.3720809,OpenStreetMap,
Kabala Lasteaed-Põhikool - Kabala kooli lasteaed,,,,,,,,,,58.9227323,24.6525437,OpenStreetMap,
Kabala lasteaed-põhikool - Lipa lasteaed,,,,,,,,,,58.905756,24.7125889,OpenStreetMap,
Kabala lasteaed-põhikool -Purku lasteaed,,,,,,,,,,58.8807046,24.7773169,OpenStreetMap,
Kabli Lasteaed,,,,,,,,,,57.9042146,24.3770271,OpenStreetMap,
Kadrina Lasteaed Sipsik,,,,,,,,,https://sipsik.kadrina.ee/,59.3405452,26.1353059,OpenStreetMap,
Kaiu lasteaed Triinutare,,,,,,,,,,59.0134545,25.0510809,OpenStreetMap,
"Kambja Lasteaed ""Mesimumm""",,,,,,,,,https://lasteaed.kambja.edu.ee,58.2350711,26.6989371,OpenStreetMap,
Kanepi Lasteaed,,,,,,,,,,57.9876059,26.7566119,OpenStreetMap,
Karksi-Nuia Lasteaed,,,,,,,,,,58.1016122,25.554258,OpenStreetMap,
Kasti Lasteaed Karikakar,,,,,,,,,,58.8695362,24.5339059,OpenStreetMap,
Kasti-Orgita Lasteaed,,,,,,,direktor@kastiorgita.ee,,,58.9196966,24.4441447,OpenStreetMap,
Kehtna Lasteaed Siller,,,,,,,,,,58.9254398,24.8734694,OpenStreetMap,
Keila Lasteaed Miki,,"Jaama, 10",,,,,,,,59.3082825,24.4159278,OpenStreetMap,
Keila Lasteaed Vikerkaar -,,,,,,,,,,59.312406,24.4228579,OpenStreetMap,
Keila Lasteaed Vikerkaar - Sipsiku maja,,,,,,,,,,59.3092892,24.4259206,OpenStreetMap,
Kelvingi Lasteaed,,,,,,,,,https://www.kelvingilasteaed.ee/,59.5466504,24.8401736,OpenStreetMap,
Kergu lasteaed-algkool,,,,,,,,,,58.6803673,24.7612715,OpenStreetMap,
Kesklinna Eralasteaed Naerusuu / Luce Kool,,,,,,,,,,58.2531657,22.4886697,OpenStreetMap,
Kihelkonna kooli lasteaed,,,,,,,,,https://www.kih.edu.ee,58.3620016,22.029591,OpenStreetMap,
Kihnu kooli lasteaed,,,,,,,,,,58.1330541,23.9819818,OpenStreetMap,
Kiili lasteaed,,,,,,,,,,59.3025791,24.8361474,OpenStreetMap,
Kiiu Kiigepõnni Lasteaed,,,,,,,,,,59.4487969,25.3928563,OpenStreetMap,
Kilingi-Nõmme lasteaed Krõll,,,,,,,,,http://www.lasteaedkroll.ee/,58.1476931,24.9580124,OpenStreetMap,
"Kirivere Kooli lasteaed ""Tähekild""",,,,,,,,,,58.6334193,25.7285269,OpenStreetMap,
Kirsiaia Lasteaed,,,,,,,,,,59.1970296,24.3926179,OpenStreetMap,
Kivi-Vigala põhikooli lasteaed,,,,,,,,,,58.7129693,24.3593631,OpenStreetMap,
Kiviõli Lasteaed Kannike,,,,,,,,,,59.3616651,26.9763298,OpenStreetMap,
Klooga lasteaed,,,,,,,,,,59.3193749,24.2493871,OpenStreetMap,
Kohila Lasteaed Männi,,,,,,,,,,59.1692453,24.749104,OpenStreetMap,
Kohtla-Järve Lasteaed Buratino,,,,,,,,,https://laburatino.eu/,59.3993792,27.2896147,OpenStreetMap,
Kohtla-Järve Lasteaed Kakuke,,,,,,,,,http://www.kakuke.edu.ee/index.php/et/,59.3256231,27.4123168,OpenStreetMap,
Kohtla-Järve Lasteaed Karuke,,,,,,,,,,59.4087031,27.2888982,OpenStreetMap,
Kohtla-Järve Lasteaed Muinasjutt,,,,,,,,,,59.3708819,27.573025,OpenStreetMap,
Kohtla-Järve Lasteaed Punamütsike,,,,,,,,,,59.3242018,27.4262687,OpenStreetMap,
Kohtla-Järve Lasteaed Pääsuke,,,,,,,,,,59.3995771,27.2755846,OpenStreetMap,
Kohtla-Järve Lasteaed Rukkilill,,,,,,,,,,59.3321143,27.4184731,OpenStreetMap,
Kohtla-Järve Lasteaed Tuvike,,,,,,,,,,59.3974237,27.3436395,OpenStreetMap,
Kohtla-Järve Lasteaed Väikemees,,,,,,,,,,59.403951,27.2904736,OpenStreetMap,
Kohtla-Järve lasteaed Lepatriinu,,,,,,,,,,59.4038946,27.2829884,OpenStreetMap,
Kohtla-Järve lasteaed Tareke,,,,,,,,,http://www.lasteaed-tareke.ee,59.3311788,27.4190588,OpenStreetMap,
Kohtla-Nõmme Kooli lasteaiaosa,,,,,,,,,,59.3545753,27.1931678,OpenStreetMap,
Koigi kooli lasteaed,,,,,,,,,,58.8336547,25.7484719,OpenStreetMap,
Kolga lasteaed,,,,,,,,,,59.4917854,25.614066,OpenStreetMap,
Kolga-Jaani Kooli lasteaed,,,,,,,,,,58.5326659,25.9482464,OpenStreetMap,
Kolkja Lasteaed-Põhikooli lasteaiaosa,,,,,,,,,,58.6673636,27.1570267,OpenStreetMap,
Konguta kooli lasteaed,,,,,,,,,,58.2661607,26.3087456,OpenStreetMap,
Koonga kooli lasteaed,,,,,,,,,,58.579256,24.1503468,OpenStreetMap,
Koosa Lasteaed,,,,,,,,,,58.5251485,27.0802065,OpenStreetMap,
Kose Lasteaed PäevaLill - Habaja maja,,,,,,,,,,59.1065782,25.169106,OpenStreetMap,
Kose Lasteaed PäevaLill - Kose maja,,,,,,,,,,59.1818788,25.166274,OpenStreetMap,
Kose Lasteaed PäevaLill - Ravila maja,,,,,,,,,,59.184014,25.2180142,OpenStreetMap,
Kose-Uuemõisa lasteaed-kool,,,,,,,,,,59.2047338,25.0988346,OpenStreetMap,
Kostivere Lasteaed,,,,,,,,,,59.4267339,25.0929476,OpenStreetMap,
Kotka Lasteaed,,,,,,,,,,59.3618149,24.5792217,OpenStreetMap,
Kuldre Kooli lasteaed Sipsik,,,,,,,,,,57.8931434,26.5024457,OpenStreetMap,
Kulina Lasteaed,,,,,,,,,,59.2088116,26.5575481,OpenStreetMap,
Kullamaa Lasteaed,,,,,,,,,,58.878903,24.0791588,OpenStreetMap,
Kuremaa lasteaed-algkool,,,,,,,,,,58.7358071,26.539135,OpenStreetMap,
Kuressaare Ida-Niidu Lasteaed,,,,,,,,,https://idaniidu.kuressaare.ee,58.2588485,22.5084629,OpenStreetMap,
Kuressaare Rohu Lasteaed,,,,,,,,,https://rohulasteaed.saaremaavald.ee,58.2568666,22.4869326,OpenStreetMap,
Kuressaare Tuulte Roosi Lasteaed,,,,,,,,,https://tuulteroos.saaremaavald.ee,58.2480976,22.455418,OpenStreetMap,
